personnummer;syfte;fnamn;enamn;röstlängdsnr;rd;rf;kf;fo;eu;st;inte;
190008059800;;Nollan;Nollansson;019101012;Riksdagen, Stockholms län;Regionfullmäktige i Region Stockholm, Nordväst;Kommunfullmäktige i Sigtuna;-;Europaparlamentet;-;-;
190811019801;;Ettan;Ettansson;0191010111;Riksdagen, Stockholms län;Regionfullmäktige i Region Stockholm, Nordväst;Kommunfullmäktige i Sigtuna;-;Europaparlamentet;-;-;
190207029802;;Tvåan;Tvåansson;226002025;Riksdagen, Västernorrlands län;Regionfullmäktige i Region Västernorrland;Kommunfullmäktige i Ånge;-;Europaparlamentet;-;-;
193409037003;Tysk medborgare;Trean;Treansson;0330336325;-;Regionfullmäktige i Region Uppsala, Uppsala läns mellersta;Kommunfullmäktige i Knivsta;-;Europaparlamentet;-;-;
190104049804;Indisk medborgare;Fyran;Fyransson;048401043;-;Regionfullmäktige i Region Sörmland;Kommunfullmäktige i Eskilstuna;-;-;-;-;
190508059805;Utlandssvensk;Femman;Femmansson;058035058;Riksdagen, Östergötlands län;-;-;-;Europaparlamentet;-;-;
190605069806;;Sexan;Sexansson;0662010610;Riksdagen, Jönköpings län;Regionfullmäktige i Jönköpings län, Tredje valkretsen;Kommunfullmäktige i Gislaved;-;Europaparlamentet;-;-;
195008072307;Utlandssvensk;Sjuan;Sjuansson;1480070750;Riksdagen, Kronobergs län;-;-;-;-;-;-;
195401080808;Kommunal folkomröstning;Åttan;Åttansson;0885080860;Riksdagen, Kalmar län;Regionfullmäktige i Region Kalmar län, Kalmar 6 Borgholm Mörbylånga;Kommunfullmäktige i Borgholm;Borgholm;Europaparlamentet;-;-;
190906099809;Gotland;Nian;Niansson;0980010912;Riksdagen, Gotlands län;-;Kommunfullmäktige i Gotland;-;Europaparlamentet;-;-;
199011102010;Kommunvalkrets;Tian;Tiansson;10801002181;Riksdagen, Blekinge län;Region Blekinge, Karlskronakretsen;Kommunfullmäktige i Karlskrona, Karlskrona Ö;-;Europaparlamentet;-;-;
190411119811;;Elvan;Elvansson;019101017;Riksdagen, Stockholms län;Regionfullmäktige i Region Stockholm, Nordväst;Kommunfullmäktige i Sigtuna;-;Europaparlamentet;-;-;
191212121212;Allt på;Tolvan;Tolvansson;1284001218;Riksdagen, Skåne läns västra valkrets;Regionfullmäktige i Region Skåne, Nordvästkretsen;Kommunfullmäktige i Höganäs;Höganäs;Europaparlamentet;Sametinget;-;
